Living Area,Bathrooms,Bedrooms,Lot Size,Age,Fireplace,Price
0.864,1,3,1,128,0,10.5363
2.15,2,4,1.2,104,0,18.9995
1.17,2,2,2.5,10,0,10.4084
1.596,1,3,3.14,29,1,21.0081
1.53,2,3,0.48,20,1,13.7508
1.38,1.5,3,0.14,2,0,11.1436
1.708,1,2,0.87,39,1,7.4422
1.308,1,3,0.46,26,0,10.7912
1.416,1.5,3,1.94,5,0,12.3757
1.9,1.5,3,0.37,12,1,13.98
1.704,1,2,2.5,177,0,7.7921
1.372,1.5,3,0.69,26,0,14.5123
1.48,1.5,2,0.17,15,1,10.4412
3.003,3.5,4,0.46,88,1,39.1842
1.298,1,3,0.17,44,1,11.8468
1.772,2.5,3,0.06,14,1,17.6698
1.536,1.5,4,0.46,30,1,6.3852
1.4,2,3,0.98,25,1,21.2103
1.58,1.5,5,1,26,0,14.6611
1.656,1,3,0.1,94,0,11.3444
1.235,1,3,0.32,84,1,4.763
1.628,1,2,0.06,124,0,6.3101
1.144,1,3,0.64,15,0,5.1183
1.3,1,3,1.08,10,0,9.2436
1.56,1.5,3,1.59,5,0,11.4513
2.172,1,6,2,114,1,17.7604
3.319,2.5,3,2,20,0,26.9063
1.21,1,2,0.7,17,1,12.7303
1.768,1.5,4,0.37,48,1,13.3612
1.164,1,3,2,54,1,13.7508
1.832,2,4,0.52,47,1,14.5147
1.276,2,3,4.67,29,0,10.7306
2.092,2.5,4,3.64,0,1,26.0228
2.116,2,4,0.05,74,0,10.4412
1.248,2,3,1,14,0,12.0476
2.128,2,4,1,7,0,11.8409
1.056,1,2,9,5,0,14.6611
2.068,1,4,1,104,1,8.556
3.069,3.5,4,1.05,13,1,20.5498
2.334,2,4,0.44,39,0,16.3478
1.551,1,4,1.95,97,0,13.754
1.456,1,4,0.4,54,1,11.6862
0.775,1,2,0.46,47,0,10.9633
1.756,1.5,3,0.85,24,1,15.6606
1.296,2,4,0.38,51,1,13.9418
1.404,2,3,0.68,72,0,12.2229
1.632,2,4,0.57,20,1,17.9524
1.564,1,3,0.32,54,1,11.1633
1.501,2,3,0.4,44,1,13.4266
1.586,1.5,3,0.6,49,1,13.0239
1.412,1.5,3,0.35,103,0,12.168
2.223,2.5,4,4.34,9,0,19.9187
1.37,1,3,0.45,27,1,12.6311
3.03,2.5,4,0.5,1,1,26.5637
2.103,2.5,4,0.06,6,1,22.9915
1.56,1,2,2,43,1,16.1473
1.512,1.5,3,0.6,7,0,15.0909
3.133,3,4,0.5,1,1,28.736
2.316,2.5,3,0.54,7,1,18.9912
1.198,1,2,0.37,13,0,10.904
1.292,2,3,0.22,4,1,14.4561
0.957,1,3,0.18,49,0,9.0678
1.216,1,3,0.21,129,0,8.9955
2.256,1.5,4,0.17,124,0,12.2082
2.043,1.5,4,0.32,94,1,8.4333
1.512,1.5,3,0.05,13,1,14.4571
1.57,2,3,0.92,14,1,18.0803
1.616,2,2,1,36,1,19.8622
1.404,2,3,6.13,7,0,12.0192
1.552,1.5,3,0.46,9,1,16.3102
1.472,1.5,4,0.7,3,1,18.4515
2.367,2.5,4,0.36,4,1,18.9654
1.475,2,3,0.46,20,1,13.582
1.632,2.5,4,0.5,30,1,15.0022
1.964,2.5,4,0.48,6,1,18.9776
2.064,2.5,4,0.84,3,1,19.6603
1.601,1.5,3,0.03,8,1,16.1839
2.284,1.5,3,0.28,29,1,20.2836
1.672,2.5,3,0.15,0,1,15.6797
2.495,2.5,4,0.41,26,1,22.2198
1.176,1.5,2,0.22,31,0,10.3262
1.498,1,2,0.4,51,1,25.3545
1.272,1,3,0.26,31,0,11.617
1.138,1,3,0.14,98,0,11.2509
2.186,2.5,3,1.4,12,0,35.5529
1.743,2.5,3,0.15,0,1,20.4643
2.488,2,3,0.41,24,1,13.5011
0.936,1,3,0.4,34,0,10.6659
2.592,3,3,0.16,1,0,32.3819
1.327,2,2,0.67,35,1,13.5011
0.864,1.5,3,0.16,37,0,12.601
1.216,1.5,3,0.14,75,0,21.6018
3.467,2.5,4,0.34,3,1,44.6436
1.48,2.5,3,0.03,16,1,13.3155
0.892,1,2,0.29,113,0,14.6471
2.786,2.5,4,0.39,0,1,32.9484
1.568,1.5,3,0.05,18,0,11.0963
0.847,1,2,0.55,78,0,30.0931
2.242,2.5,3,0.07,0,0,25.5303
1.374,1.5,3,0.18,44,0,15.0909
1.92,2.5,3,0.16,0,1,18.4109
2.124,2.5,3,0.14,0,1,17.3446
1.48,2.5,3,0.03,16,1,12.774
2.022,2.5,3,0.48,0,1,21.3048
1.098,1,2,0.1,113,0,11.407
1.224,1,2,0.27,63,0,20.5947
2.55,2.5,3,0.46,0,1,20.9226
1.279,1,3,0.28,31,0,13.4378
1.177,1.5,3,0.17,36,0,11.3371
1.859,1.5,3,0.14,85,0,26.1301
2.219,2.5,4,0.3,15,1,21.8734
2.579,2.5,4,0.72,0,1,25.4944
1.568,1.5,3,0.16,18,0,14.3252
0.912,1,3,0.26,31,0,9.9463
1.209,1,2,0.19,73,0,12.3064
2.242,2.5,3,0.08,0,0,24.3305
2.27,2.5,3,0.46,0,1,21.2846
3.457,2.5,3,1,20,1,37.8465
1.738,2,3,0.22,5,0,26.3408
1.334,1.5,2,0.13,122,0,18.9654
2.322,2.5,3,0.27,0,1,35.7384
1.87,2.5,3,0.11,4,1,26.5515
1.888,2,3,0.39,6,0,16.8497
1.368,1,3,0.24,33,0,13.2088
1.2,1.5,3,0.32,1,0,13.0518
1.368,1,3,0.38,34,0,9.2519
2.23,2.5,3,0.62,1,0,22.9761
1.8,2.5,3,0.07,16,1,23.1298
1.043,1,3,0.15,104,0,15.2822
1.2,1,2,0.16,65,0,22.4888
2.346,2.5,4,0.35,0,1,24.4124
0.792,1,3,0.13,36,0,14.8989
2.3,2.5,3,0.07,16,1,23.6936
2.28,2.5,4,0.47,24,1,26.1031
1.652,1.5,3,0.05,4,1,24.6976
2.238,1.5,3,0.21,114,1,12.0476
1.016,2,2,0.01,41,0,16.8065
1.97,2.5,4,0.59,18,1,17.3794
1.68,2,3,0.39,27,1,21.3901
1.386,1.5,2,0.23,92,0,21.7797
1.55,2.5,2,0.07,16,1,17.1885
2.058,2.5,4,1.33,26,1,28.6474
1.126,2,3,0.22,46,1,17.494
1.85,2.5,4,0.19,16,1,26.1647
1.673,1,3,0.29,27,1,13.8424
2.208,2.5,3,0.05,17,1,14.8967
1.116,2,3,0.24,38,0,20.094
1.47,2.5,3,0.13,3,0,23.4429
3.356,2.5,4,0.34,6,1,33.3411
1.016,2,2,0.01,41,0,24.7639
1.612,1,3,0.29,34,1,12.2796
1.908,2,3,0.22,16,1,27.9083
1.064,1,2,0.1,77,1,17.7124
2.078,1.5,4,0.22,33,0,16.0007
2.47,2.5,4,0.34,26,1,15.4798
2.058,1.5,2,0.23,49,1,37.3227
1.4,1.5,3,1,17,0,12.2257
1.664,3,3,0.99,10,0,16.5213
1.488,2.5,3,2.15,1,1,12.804
1.12,2,3,0.73,7,0,12.0476
0.672,1,2,0.36,46,0,6.4174
1.164,2,3,0.34,8,0,12.4492
1.032,1,3,0.75,4,0,11.1534
1.736,2,3,0.38,37,1,11.459
1.061,1,3,0.92,48,1,9.7783
1.298,1,3,0.24,106,0,6.4552
1.164,2,3,0.64,7,0,11.4238
0.924,1,1,0.17,104,0,5.7678
0.96,1,3,1,51,0,8.9232
1.594,1.5,4,0.21,81,0,7.2189
2.008,2.5,4,0.46,19,1,21.0081
1.268,1,3,0.56,25,1,12.6049
1.48,1.5,3,0.08,16,1,9.879
1.034,1.5,2,0.21,14,1,10.3408
1.48,1.5,3,0.08,15,1,10.2806
1.35,1.5,2,0.68,1,1,15.9843
1.248,1.5,3,1.28,0,0,11.1353
2.294,3.5,4,0.52,0,1,23.4954
1.492,1.5,3,0.15,16,0,10.3256
1.336,1.5,2,0.35,20,1,8.158
2.31,2.5,4,1.4,3,1,22.918
1.542,2.5,3,0.25,10,0,11.6882
1.984,2.5,2,0.27,11,0,15.4238
1.48,1.5,2,0.12,17,0,10.0839
1.856,1.5,3,0.6,36,1,12.2257
1.688,1,3,0.03,29,1,12.804
1.248,1,3,0.96,46,1,10.2806
2.405,2.5,4,1.63,16,1,23.6055
1.392,1.5,3,0.26,21,0,9.1672
1.394,1,4,0.46,33,0,13.0757
1.94,2,3,0.85,9,0,20.0793
2.068,2.5,4,0.46,17,1,20.2836
1.664,1.5,3,0.21,76,0,6.0238
1.32,1,3,0.17,90,0,4.0932
1.281,2.5,2,0.02,19,1,9.2519
1.397,1.5,2,0.76,14,1,14.8692
1.62,2.5,3,0.86,1,1,12.391
1.344,1.5,3,0.64,16,0,10.3258
3.361,3.5,4,0.71,1,1,39.4532
2.04,2.5,4,0.65,1,1,18.7104
1.219,1.5,2,0.01,19,0,9.7476
1.253,1.5,2,0.21,16,1,12.5562
1.876,2.5,3,0.24,1,1,20.8048
3.296,2.5,4,0.61,6,1,33.4556
1.496,1,3,0.25,37,1,13.4933
2.2,2.5,4,0.61,1,1,17.814
3.308,2.5,4,0.66,7,1,34.5364
3.328,2.5,4,0.35,0,1,28.55
1.824,2.5,3,0.18,11,1,22.8904
2.147,2.5,4,0.61,9,1,20.7018
2.093,2.5,3,0.46,1,1,25.7015
1.336,2,3,0.32,11,0,16.0635
2.934,2.5,3,0.66,9,1,32.9221
1.152,1,3,0.8,36,0,13.6499
1.348,2.5,2,0,18,1,12.1279
2.376,2.5,4,0.06,10,1,24.0952
2.926,3,4,0.84,11,1,34.0545
2.249,2.5,4,0.59,1,1,17.6846
2.919,2.5,4,0.05,5,1,31.2448
3.423,2.5,4,0.38,0,1,31.4912
1.536,2.5,3,0.72,7,1,17.1885
2.216,2.5,3,0.5,8,1,22.5742
2.572,2.5,4,0.94,9,1,24.0639
2.412,2.5,4,0.55,10,1,23.6742
1.281,2.5,2,0.01,18,1,9.9311
1.623,1.5,4,0.44,36,1,13.6192
2.619,2.5,4,0.53,4,1,22.3266
1.364,1.5,2,0.14,19,1,13.3215
1.62,1.5,4,0.04,99,0,7.765
1.785,2.5,3,0.17,1,0,15.0505
1.796,2.5,3,0.92,14,0,16.9343
1.184,2,3,0.15,17,0,11.5566
1.785,2.5,3,0.16,1,0,15.4528
2.655,2.5,4,0.37,1,1,21.8184
3.2,2.5,4,1.27,1,1,36.6772
2.011,2.5,4,0.67,12,0,19.999
3.329,1.5,3,0.62,14,0,30.3599
1.24,1.5,2,0.15,17,0,9.4774
1.184,1.5,2,0.15,18,0,9.8389
1.385,1.5,2,0.16,17,1,11.0115
1.732,1.5,3,0.31,17,1,16.0349
0.728,1,2,0.06,22,0,7.5094
1.508,2,3,0.33,16,1,15.2404
1.466,1,3,0.23,62,1,15.4314
0.69,1,3,0.04,114,0,9.9311
0.911,1,2,0.12,114,0,11.077
1.656,1.5,3,0.33,19,1,15.737
1.782,1.5,3,0.34,36,0,14.8203
0.912,1.5,2,0.16,20,0,8.5585
1.508,1.5,3,0.34,19,0,13.7606
1.266,1,3,0.03,134,1,11.0889
0.912,1.5,2,0.16,18,0,9.6004
1.506,1.5,3,0.46,24,1,11.9001
1.928,2,4,0.27,134,1,7.4421
1.536,2,3,0.98,6,0,14.5123
1.811,2.5,3,0.46,19,1,16.3728
1.948,2.5,3,1.13,13,1,19.3497
0.864,1.5,3,0.07,114,0,7.3892
1.76,1.5,4,0.27,133,1,11.3367
1.872,1.5,3,0.36,18,0,16.2984
2.25,2.5,4,0.31,2,0,20.28
0.924,1,3,0.91,15,0,8.4291
1.406,1.5,2,0.16,19,0,9.8632
3.535,3,4,4.2,39,1,15.5713
1.561,1.5,3,0.33,18,0,14.6626
0.988,2,2,0.15,19,0,9.2932
1.785,2.5,3,0.16,1,1,16.4419
2.655,2.5,4,0.37,1,1,21.8184
2.372,2,3,0.44,2,1,17.4208
2.504,2.5,4,0.48,14,1,20.0713
1.184,1.5,2,0.16,20,0,10.2003
1.527,2,2,0.31,17,1,8.5939
1.764,2.5,3,1,8,1,21.0672
1.184,1.5,2,0.15,18,0,9.8389
1.168,2,3,0.14,21,0,10.2806
0.912,1.5,2,0.16,20,0,11.1239
0.912,1.5,2,0.16,18,0,10.0397
1.492,2.5,3,0.17,17,1,11.7703
1.508,2,3,0.36,20,1,15.2786
1.27,1,3,0.04,110,0,8.7852
2.31,2.5,4,0.65,31,1,18.067
1.688,2,5,0.17,119,0,5.5817
2.548,2.5,3,0.36,3,1,23.0708
1.385,1.5,2,0.15,17,0,9.3846
3.271,2.5,4,0.97,1,1,24.3276
1.921,2,3,1,0,1,22.6304
1.56,1,2,0.36,25,0,11.9784
1.84,1,3,0.14,8,0,10.8478
1.704,2.5,3,0.43,17,1,15.4696
1.971,2.5,4,0.35,11,0,19.8622
3.106,2.5,4,5.51,8,0,16.7776
0.924,1,3,0.91,15,0,8.4291
1.216,1,3,0.49,51,1,12.6436
1.635,1.5,4,0.28,52,0,12.9609
1.892,2,3,0.25,26,1,13.7127
2.95,2.5,4,0.41,1,1,27.7235
2.539,2.5,4,0.38,1,0,20.9555
1.375,1.5,2,0.07,21,1,10.1193
1.302,1.5,2,0.05,17,1,10.4084
0.937,1,2,0.13,19,0,9.9045
3.376,2.5,4,0.83,7,1,33.4556
2.328,2.5,3,0.24,1,1,18.6605
1.994,2,3,1,49,1,21.0646
2.623,2.5,4,0.53,0,1,23.0414
2.602,2.5,4,0.37,1,1,20.8253
1.48,1.5,3,0.14,19,0,10.4084
0.924,1,2,0.17,19,1,9.4584
3.236,2.5,4,2.5,0,1,23.3155
1.973,2.5,3,0.27,3,1,22.7994
1.422,1.5,3,0.23,20,0,11.5649
1.352,1.5,2,0.18,11,0,13.7044
2.772,2.5,4,0.29,0,1,26.1846
1.62,2,3,0.3,0,0,16.8739
2.5,2.5,4,0.46,11,1,23.6936
1.702,1.5,3,0.61,16,1,19.7581
2.748,2.5,4,0.92,3,1,29.7174
2.31,2.5,4,0.6,38,1,15.5414
1.74,1.5,3,0.53,36,0,14.176
2.5,2.5,4,0.19,0,1,21.4367
1.832,1.5,3,0.67,30,1,14.6981
2.657,2.5,4,0.6,15,1,26.826
0.976,2,2,0.34,21,0,6.9876
1.612,1.5,3,0.43,37,1,14.3768
1.456,1,3,0.49,23,1,13.0917
1.992,2.5,4,0.4,30,1,18.7701
2.348,2.5,4,0.51,7,1,24.0872
2.676,2.5,4,0.89,34,1,20.6415
2.304,2.5,4,0.35,0,1,19.179
3.44,2.5,4,0.63,3,1,31.2434
2.593,2.5,4,0.28,0,1,21.7226
2.162,2.5,4,0.38,19,1,17.6618
1.578,2.5,3,0.46,11,1,15.2786
2.088,2.5,4,0.49,22,1,19.0983
0.924,1,2,0.15,20,1,9.9082
1.734,1.5,4,0.45,34,1,14.8585
1.792,2.5,2,0.08,24,1,12.9868
2.96,2.5,4,0.61,8,1,30.4045
2.993,2.5,4,1.34,15,1,26.5848
2.027,2.5,3,0.46,15,1,18.7087
2.421,2.5,4,0.48,13,1,22.0776
1.758,2,4,0.27,26,1,16.119
2.702,1.5,5,0.35,31,1,18.4108
2.6,2.5,4,0.44,18,1,17.9524
2.572,2.5,4,1.03,6,1,24.4382
2.498,2.5,5,0.53,36,1,21.3137
2.396,2.5,3,2,5,1,24.4441
2.641,2.5,4,0.34,3,1,26.3938
3.123,2.5,4,0.49,14,1,27.1578
2.028,2,3,0.5,27,1,11.9937
1.873,2.5,4,0.29,32,1,14.0945
2.608,2.5,4,0.58,4,1,23.6819
0.929,1.5,2,0.17,21,0,9.1672
0.924,1,2,0.31,19,1,9.32
1.227,2,2,0.12,19,1,11.8409
2.294,2.5,5,0.4,36,1,18.0288
0.976,2,2,0.31,23,0,8.7852
